,compound,created at,negative,neutral,positive,screen_name,text
0,-0.296,2018-03-29 20:41:00+00:00,0.099,0.901,0.0,BBC,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj"
1,0.0,2018-03-29 18:45:08+00:00,0.0,1.0,0.0,BBC,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
??? Here's your Easter weekend forecast: https://t.co/EXeBCHutS4"
2,0.0,2018-03-29 18:44:20+00:00,0.0,1.0,0.0,BBC,RT @bbcrb: Retirement's looking rosy for Hank the police horse! ?? https://t.co/xB9kXZeWNE
3,0.0,2018-03-29 18:44:11+00:00,0.0,1.0,0.0,BBC,"RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... ? ? https://t.co/qp6xw04IiC"
4,0.0,2018-03-29 18:43:51+00:00,0.0,1.0,0.0,BBC,RT @BBCOne: Anyone else having a 'chilled one'? ? https://t.co/WRBeDdaK18
5,0.4522,2018-03-29 18:05:02+00:00,0.109,0.697,0.194,BBC,"?? 'That was it I just totally fell in love with art.'

? How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl"
6,0.0,2018-03-29 17:04:05+00:00,0.0,1.0,0.0,BBC,"? Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
?… https://t.co/5xxQNyyRMg"
7,0.784,2018-03-29 16:12:19+00:00,0.0,0.712,0.288,BBC,RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…
8,-0.3164,2018-03-29 16:03:03+00:00,0.534,0.466,0.0,BBC,? Plastic protest! https://t.co/9m59wayYH8
9,0.0,2018-03-29 15:41:25+00:00,0.0,1.0,0.0,BBC,"RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP"
10,0.0,2018-03-29 15:31:22+00:00,0.0,1.0,0.0,BBC,RT @bbcwritersroom: #OrdealByInnocence begins on @BBCOne on Easter Sunday 1st April at 9pm and @BBCiPlayer. #Screenwriter @PhelpsieSarah ex…
11,0.0,2018-03-29 15:26:27+00:00,0.0,1.0,0.0,BBC,"RT @bbcideas: Author Lionel Shriver says we project ourselves on to our possessions – and that she is her toy donkey, Clippety ?.

We'd lik…"
12,0.0,2018-03-29 15:24:08+00:00,0.0,1.0,0.0,BBC,RT @BBCTwo: Imagine living in this incredible Swiss chalet! ??? #TheWorldsMostExtraordinaryHomes https://t.co/NofijuERJg
13,0.0,2018-03-29 15:04:02+00:00,0.0,1.0,0.0,BBC,"? So, who's going out tonight? https://t.co/u2L4sEKjE2"
14,0.0,2018-03-29 14:21:11+00:00,0.0,1.0,0.0,BBC,"?? Why it's never too late to learn an instrument. 
? https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho"
15,0.0,2018-03-29 14:07:48+00:00,0.0,1.0,0.0,BBC,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…
16,0.8268,2018-03-29 12:31:03+00:00,0.0,0.701,0.299,BBC,"Happy birthday to Alfred and Robert! ? ? Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v"
17,-0.6249,2018-03-29 11:00:21+00:00,0.295,0.581,0.124,BBC,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
?… https://t.co/bG9qcXtouW"
18,0.6908,2018-03-29 10:18:02+00:00,0.0,0.769,0.231,BBC,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. ?
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
19,0.784,2018-03-29 08:00:12+00:00,0.0,0.655,0.345,BBC,??? Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
20,-0.296,2018-03-29 20:41:00+00:00,0.099,0.901,0.0,BBC,"At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj"
21,0.0,2018-03-29 18:45:08+00:00,0.0,1.0,0.0,BBC,"RT @BBCBreakfast: Counting down the hours until you go home for Easter?
??? Here's your Easter weekend forecast: https://t.co/EXeBCHutS4"
